"","user","target_user","layer","w_ij"
"1","000277100d5593fec35a151e228f6a485210a3fa87cda78d79c465bbebb6e71e","000277100d5593fec35a151e228f6a485210a3fa87cda78d79c465bbebb6e71e","Community",0.247279943674103
"2","000277100d5593fec35a151e228f6a485210a3fa87cda78d79c465bbebb6e71e","2362ac333f83b3c2c10d78f0082011bf3b08fce5b0d413a04dc07414c58b2b3c","Community",0.0644235188818452
"3","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","Community",0.151013164555059
"4","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","034247ac9b2ef0f609abe94c033b8f15b7a2549e66e745266a38c8700f3bc111","Community",0.267634603708998
"5","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","4a719db3c0a303ea66eebc6e6b0136708f73a54d926e0b9e515548ffa0854269","Community",0.174533833766514
"6","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","7bdfacc3ccd146fa711a38d552e25e5f40a7e6f00c2e3b17e8ca8d8520b89804","School",0.184173394998824
"7","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","dbe4889dbfaa24eecf280a2b8c03ffff42f876644808ead27dca81bd3593ee0f","School",0.133243023026063
"8","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","dcecee74fd932ce96a2a7de6c0ec72b0220d97227394d82179939d1d182c8994","Community",0.133500424840926
"9","0002a8f1815bcef6bc1613175df0505bd295fb79ed6ace605b933f1a165c718d","eb9b5efd5330143fcb5cb75f525faa52b4b3e8fe5568994c7f1c73b7cd2c0d1f","Community",0.0639279087727506
"10","00033a3bb5f07e32dc00a69de6c8b4f73d05e5d08d14a8d2b6d796a64f3dbb54","00033a3bb5f07e32dc00a69de6c8b4f73d05e5d08d14a8d2b6d796a64f3dbb54","Community",0.10431355000998
"11","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","Community",0.0622364046907998
"12","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","bc813e4c8d6f9f26ea25d81d2606389d79c7590195202e12fed4418247733449","Community",0.0605109890730605
"13","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","c9c19de72d760cd612f3868611a3549b58fbcb7925ddecb4922d8f5017410e6c","Community",0.0849473816041903
"14","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","c9ec9ab6724ed44a29d250d81691b5304756af2b833e4f73b4cbc1ebd80c7e94","Community",0.0864541581626141
"15","000343483445495a56d6d02cd1e1f5cda6e577b636c21c2f5922df46c0855919","eb35343314e024cd48758525ace6d550c7d46b95334a1a9a7aadcdccc3f89e98","Community",0.0518659691689621
"16","000347ca57a60068d9b77636ccd8f0612ec971a84131b4f650996f8a255766a8","000347ca57a60068d9b77636ccd8f0612ec971a84131b4f650996f8a255766a8","Community",0.566999028890744
"17","000347ca57a60068d9b77636ccd8f0612ec971a84131b4f650996f8a255766a8","4347c3b284248f42c34cbfe2c627dcf2391e9316332f92382f4bc200c6cb0b13","Community",0.544002757140876
"18","000347ca57a60068d9b77636ccd8f0612ec971a84131b4f650996f8a255766a8","e0e3a7d3c9c9790746bdfb2b6a43abfa8f2be4529ac111dfa4d33a16331ceb4b","Community",0.0676616197355756
"19","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","Community",0.11604915934583
"20","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","1254dee8f8d516d29f288765cfc35fbe564aa553cff83275b5ca2a48e524e6dd","Community",0.138976486135113
"21","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","78fc904129d3262ec7a21bcece73a0c6f357f129174069ac2a46d94ba1a5c00a","Community",0.117248075261674
"22","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","affeda0d9fd4db2929f712f2fdd23341d6a28fc069b84af6181a79a1b39cd49e","Community",0.0910145693968343
"23","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","f7a9c7faf9202e0f46f836082d7bac6c411115e001cf20d6f732796769683496","School",0.0608611915501725
"24","0004871e72d75626632bbce83040c515345c7df37a77658c3573eb29e496eed4","fbc4d181f6a1e52806e0b491d3e63b27bc8fec0f0d5bd66861c05173ee031270","Community",0.0521717370616401
"25","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","Community",0.662982434245804
"26","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","1b829fd6ad6191744f418e9b900aab98239c9d5ac208438d9e0def96976ce252","Community",0.24384859446227
"27","0005770f50f530c11219fa5585560153c72398204b08b9e3f005ae9a83fc41ed","1cc9ad0b36dd23f4d1b8b2b5bc4223434e2d14520e3416000331d2dc2dcbee70","Community",0.219285560562972
